rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,terrorism,king,bin,billion,relief,security [✓],cabinet,said,salman,saudi,yemen
2,kingdom,abdullah,minister,million,humanitarian,council,king,saudi_arabia [2],terrorist,ambassador,coalition
3,qatar,bin,prince,syrian,king,kingdom,session,minister,king,embassy,forces
4,countries,abdulaziz,salman,percent,center,gcc,cooperation,al-jubeir,people,kingdom,houthi
5,terrorist,saudi,two,technology [✓],salman,international,approved,world,attack,saudi_arabia [2],military
6,extremism,general,king,support,saudi,arab,also,development [✓],condolences,united,militias
7,islamic,mosques,abdulaziz,kingdom,aid,stability,holy,foreign,kingdom's,washington,yemeni
8,investment [✓],holy,president,national,ksrelief,efforts,briefed,countries,kingdom,states,support
9,groups,international,foreign,budget,yemen,ministerial,arab,cooperation,ministry,today,humanitarian
10,oil [✓],custodian,meeting,new,culture [✓],peace,cabinet's,dialogue,victims,also,air
11,authorities,prize,crown,economic [1],million,united,chairs,iran,foreign,national,saudi
12,world,cultural,deputy,energy [3],kingdom,political,ministers,economic [1],bin,khalid,houthis
13,fight,two,custodian,fund,saudi_arabia [✓],stressed,agreement,region,expressed,training,said
14,region,today,today,financial,medical,against,mosques,syria,two,two,weapons
15,also,salman,mohammed,capital,food,conference,chaired,continue,egypt,daesh,today
