rank,Topic,doc_position,doc_id,title,date,address,Categories
1,1_Economic Cooperation,831,844,"Saudi Arabia Ranks as Top Reformer in World Bank???Ä?ôs Women, Business and Law 2020 Report",15-Jan-20,https://saudiembassy.net/news/saudi-arabia-ranks-top-reformer-world-bank%E2%80%99s-women-business-and-law-2020-report,News
1,2_Belt and Road Initiative (BRI),99,100,Saudi Foreign Minister: Demands on Qatar to Stop Funding Terrorism are Non-Negotiable,"June 27, 2017",https://saudiembassy.net/news/saudi-foreign-minister-demands-qatar-stop-funding-terrorism-are-non-negotiable,Press Releases
1,3_Diplomatic Relations,665,676,?°Ï?Ñ???????Ñ?? ?°Ï?Ñ???°Ï?????? ?Ñ?Ñ?Ö?à?°Ï?°§?Ü?ä?Ü ?°Ï?Ñ?É?°¿?°Ï?Ö ?°ß?°Ï?Ñ?à?Ñ?°Ï?ä?°Ï?? ?°Ï?Ñ?Ö???????? ?°Ï?Ñ?°¿?°Ï???°ß?ä?Ü ?°ß?°Ï?Ñ???à????,2020/5/8,https://saudiembassy.net/statements/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9-%D9%84%D9%84%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D8%A7%D9%85-%D8%A8%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%BA%D8%A8%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9,statements
1,4_Technology and Innovation,1767,1780,King Salman Holds Talks with Turkish President,2-Mar-15,https://saudiembassy.net/news/king-salman-holds-talks-turkish-president,News
1,5_Cultural Exchange,703,714,?°Ï?Ñ???Ö?ä?°¿ ?????à?? ?°Ï?Ñ?Å?ä???Ñ ?à???ä?°¿ ?°Ï?Ñ???°Ï?°¿???ä?? ?Ö?? ?à???ä?°¿ ?°Ï?Ñ???°Ï?°¿???ä?? ?°Ï?Ñ???Ö?°¿?ä?É?ä ?°Ï?Ñ???ä?? ???à?Ü ?É?ä?°¿?ä,2015/3/5,https://saudiembassy.net/statements/%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1-%D8%B3%D8%B9%D9%88%D8%AF-%D8%A7%D9%84%D9%81%D9%8A%D8%B5%D9%84-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D9%85%D8%B9-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF-%D8%AC%D9%88%D9%86-%D9%83%D9%8A%D8%B1%D9%8A,statements
1,6_Geopolitical Strategy,684,695,Saudi-Indian Joint Communiqu??,2016/4/3,https://saudiembassy.net/statements/saudi-indian-joint-communiqu%C3%A9,statements
1,7_Trade Agreements,1186,1199,GCC Leaders Conclude 37th Summit in Bahrain,7-Dec-16,https://saudiembassy.net/news/gcc-leaders-conclude-37th-summit-bahrain,News
1,8_Infrastructure Development,799,812,"Saudi Arabia Announces Budget for 2016???Ä?""December 28","2015""",https://saudiembassy.net/news/saudi-arabia-announces-budget-2016%E2%80%8E,News
1,Other_1,1286,1299,Kingdom Denounces Terror Attacks in Istanbul and Mogadishu,11-Dec-16,https://saudiembassy.net/news/kingdom-denounces-terror-attacks-istanbul-and-mogadishu,News
1,Other_2,764,777,KSrelief Continues Distributing Food Baskets and Medical Supplies in Yemen,18-Jul-17,https://saudiembassy.net/news/ksrelief-continues-distributing-food-baskets-and-medical-supplies-yemen,News
1,Other_3,724,736,Statement of His Eminence the Grand Mufti of Saudi Arabia,2012/9/16,https://saudiembassy.net/statements/statement-his-eminence-grand-mufti-saudi-arabia,statements
2,1_Economic Cooperation,2,2,"Saudi Arabia Ranks as Top Reformer in World Bank?Äôs Women, Business and Law 2020 Report","January 15, 2020",https://saudiembassy.net/news/saudi-arabia-ranks-top-reformer-world-bank%E2%80%99s-women-business-and-law-2020-report,Press Releases
2,2_Belt and Road Initiative (BRI),954,967,Saudi Foreign Minister: Demands on Qatar to Stop Funding Terrorism are Non-Negotiable,27-Jun-17,https://saudiembassy.net/news/saudi-foreign-minister-demands-qatar-stop-funding-terrorism-are-non-negotiable,News
2,3_Diplomatic Relations,666,677,?°¿???Ñ?? ?°Ï?Ñ?Ö?à?°Ï?°§?Ü?ä?Ü ?°ß?°Ï?Ñ?à?Ñ?°Ï?ä?°Ï?? ?°Ï?Ñ?Ö???????? ?°Ï?Ñ???Ö?°¿?ä?É?ä?? ?°Ï?Ñ?°¿?°Ï???°ß?ä?Ü ?°ß?°Ï?Ñ???à????,2020/5/5,https://saudiembassy.net/statements/%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%BA%D8%A8%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9-0,statements
2,4_Technology and Innovation,331,332,Saudi Crown Prince Holds Meeting with CENTCOM Commander,"January 5, 2014",https://saudiembassy.net/press-release/saudi-crown-prince-holds-meeting-centcom-commander,Press Releases
2,5_Cultural Exchange,692,703,?É?Ñ?Ö?? ?°Ï?Ñ?Ö?Ö?Ñ?É?? ?°Ï?Ñ???°¿?°ß?ä?? ?°Ï?Ñ?????à???ä?? ?Å?ä ?°Ï?Ñ???à?°¿?? ?°Ï?Ñ???°ß???ä?Ü ?Ñ?Ñ???Ö???ä?? ?°Ï?Ñ???°Ï?Ö?? ?Ñ?Ñ???Ö?Ö ?°Ï?Ñ?Ö????????,2015/10/1,https://saudiembassy.net/statements/%D9%83%D9%84%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D9%8A%D9%86-%D9%84%D9%84%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D9%84%D9%84%D8%A3%D9%85%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9,statements
2,6_Geopolitical Strategy,1609,1622,Foreign Minister Al-Jubeir Call For Greater Pressure on Syrian Regime,20-Dec-16,https://saudiembassy.net/news/foreign-minister-al-jubeir-call-greater-pressure-syrian-regime,News
2,7_Trade Agreements,1617,1630,GCC Leaders Conclude 37th Summit in Bahrain,7-Dec-16,https://saudiembassy.net/news/gcc-leaders-conclude-37th-summit-bahrain,News
2,8_Infrastructure Development,643,654,Initiative for Interfaith Dialogue,2011/1/1,https://saudiembassy.net/reports/initiative-interfaith-dialogue,reports
2,Other_1,1614,1627,Kingdom Denounces Terror Attacks in Istanbul and Mogadishu,11-Dec-16,https://saudiembassy.net/news/kingdom-denounces-terror-attacks-istanbul-and-mogadishu,News
2,Other_2,913,926,KSrelief Continues Distributing Food Baskets and Medical Supplies in Yemen,18-Jul-17,https://saudiembassy.net/news/ksrelief-continues-distributing-food-baskets-and-medical-supplies-yemen,News
2,Other_3,422,426,Saudi King Calls for End to Violence in Syria,"August 11, 2011",https://saudiembassy.net/press-release/saudi-king-calls-end-violence-syria,Press Releases
3,1_Economic Cooperation,463,467,Saudi Ambassador to Speak at U.S.-Saudi Business Forum,"April 28, 2010",https://saudiembassy.net/press-release/saudi-ambassador-speak-us-saudi-business-forum,Press Releases
3,2_Belt and Road Initiative (BRI),773,786,Saudi Foreign Minister: Demands on Qatar to Stop Funding Terrorism are Non-Negotiable,27-Jun-17,https://saudiembassy.net/news/saudi-foreign-minister-demands-qatar-stop-funding-terrorism-are-non-negotiable,News
3,3_Diplomatic Relations,340,341,Saudi Arabia Has Capacity to Meet Global Demand for Crude Oil,"September 12, 2013",https://saudiembassy.net/press-release/saudi-arabia-has-capacity-meet-global-demand-crude-oil,Press Releases
3,4_Technology and Innovation,1160,1173,Deputy Crown Prince Holds Talks With Somali President,23-Feb-17,https://saudiembassy.net/news/deputy-crown-prince-holds-talks-somali-president,News
3,5_Cultural Exchange,701,712,?°Ï?Ñ?°ß?ä?°Ï?Ü ?°Ï?Ñ?°Ï?Å?????°Ï???ä ?Ñ?°Ï?Ñ???Ö?ä?°¿ ?????à?? ?°Ï?Ñ?Å?ä???Ñ ?Å?ä ?°Ï?Ñ?Ö?°Ë???Ö?°¿ ?°Ï?Ñ?????Å?ä ?°Ï?Ñ?Ö?????°¿?É ?Ö?? ?Ö???°Ï?Ñ?ä ?à???ä?°¿ ?°Ï?Ñ???°Ï?°¿???ä?? ?°Ï?Ñ?°ß?°¿?ä?°§?°Ï?Ü?ä,2015/3/23,https://saudiembassy.net/statements/%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD%D9%8A-%D9%84%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1-%D8%B3%D8%B9%D9%88%D8%AF-%D8%A7%D9%84%D9%81%D9%8A%D8%B5%D9%84-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A7%D9%84%D8%B5%D8%AD%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B4%D8%AA%D8%B1%D9%83-%D9%85%D8%B9-%D9%85%D8%B9%D8%A7%D9%84%D9%8A-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9,statements
3,6_Geopolitical Strategy,174,175,GCC Condemns Iran Interference in Region,"January 9, 2016",https://saudiembassy.net/press-release/gcc-condemns-iran-interference-region,Press Releases
3,7_Trade Agreements,1533,1546,King Salman Chairs Cabinet's Session,3-Apr-17,https://saudiembassy.net/news/king-salman-chairs-cabinets-session-2,News
3,8_Infrastructure Development,1029,1042,King Salman to Cover Cost of Jordanian With Special Needs Who Wish to Perform Umrah,27-Dec-16,https://saudiembassy.net/news/king-salman-cover-cost-jordanian-special-needs-who-wish-perform-umrah,News
3,Other_1,1256,1269,Police Officer Shot in Qatif,15-Mar-17,https://saudiembassy.net/news/police-officer-shot-qatif,News
3,Other_2,1193,1206,KSRELIEF Kingdom Provides Humanitarian Assistance to All Parts of Yemen,31-Aug-16,https://saudiembassy.net/news/ksrelief-kingdom-provides-humanitarian-assistance-all-parts-yemen,News
3,Other_3,714,725,King Abdullah's Address on the Eve of Holy Month of Ramadan,2014/6/28,https://saudiembassy.net/statements/king-abdullahs-address-eve-holy-month-ramadan,statements
4,1_Economic Cooperation,1067,1080,U.S.-Saudi Business Opportunities Forum Opens in Chicago,28-Apr-10,https://saudiembassy.net/news/us-saudi-business-opportunities-forum-opens-chicago,News
4,2_Belt and Road Initiative (BRI),1079,1092,Saudi Foreign Minister: Demands on Qatar to Stop Funding Terrorism are Non-Negotiable,27-Jun-17,https://saudiembassy.net/news/saudi-foreign-minister-demands-qatar-stop-funding-terrorism-are-non-negotiable,News
4,3_Diplomatic Relations,911,924,Al-Naimi Expects Oil Market to Balance and Prices to Stabilize,4-Mar-15,https://saudiembassy.net/news/al-naimi-expects-oil-market-balance-and-prices-stabilize,News
4,4_Technology and Innovation,1578,1591,Deputy Crown Prince Holds Talks With Somali President,23-Feb-17,https://saudiembassy.net/news/deputy-crown-prince-holds-talks-somali-president,News
