rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,kingdom,saudi_arabia [✓],saudi_arabia [✓],bin,culture [✓],security [✓],cabinet,king,terrorist,yemen,people
2,saudi,terrorism,energy [✓],minister,education [✓],international,king,abdullah,ministry,coalition,order
3,economic [✓],saudi,oil [✓],prince,saudi_arabia [✓],council,council,international,attack,humanitarian,peace
4,world,against,market,king,على,iran,session,development [✓],kingdom,houthi,upon
5,u.s,said,industry,salman,embassy,kingdom,cooperation,billion,security [6],yemeni,god
6,states,united,supply [✓],abdulaziz,saudi,region,salman,million,people,aid,bin
7,united,terrorist,sector,two,students,foreign,gcc,saudi_arabia [2],attacks,relief,allah
8,ambassador,world,prices,president,exchange [✓],minister,bin,abdulaziz,saudi,forces,use
9,two,islamic,training,crown,cultural,countries,approved,kingdom,condolences,militias,law
10,between,extremism,production [✓],deputy,tourism [✓],arab,holy,dialogue,foreign,saudi,muslims
11,countries,states,growth,foreign,heritage,peace,also,national,government,military,today
12,said,kingdom,solar,meeting,information,support,two,mosques,victims,people,way
13,also,washington,future,custodian,faisal,saudi_arabia [2],mosques,salman,saudi_arabia [2],houthis,also
14,vision,including,resources,holy,festival,president,custodian,nations,two,air,statement
15,global,financing,industrial,mosques,exhibition,stability,arab,world,today,center,regime
