Word,WordCount,Proportion(%),Ranking,Topic
economic,534,0.194,1,1_Economic Cooperation
oil,380,0.138,2,1_Economic Cooperation
investment,220,0.08,3,1_Economic Cooperation
partnership,194,0.07,4,1_Economic Cooperation
trade,132,0.048,5,1_Economic Cooperation
infrastructure,75,0.027,6,1_Economic Cooperation
saudi_arabia,3030,1.098,1,2_Belt and Road Initiative (BRI)
infrastructure,75,0.027,2,2_Belt and Road Initiative (BRI)
china,43,0.016,3,2_Belt and Road Initiative (BRI)
silk_road,9,0.003,4,2_Belt and Road Initiative (BRI)
connectivity,3,0.001,5,2_Belt and Road Initiative (BRI)
saudi_arabia,3030,1.098,1,3_Diplomatic Relations
energy,410,0.149,2,3_Diplomatic Relations
oil,380,0.138,3,3_Diplomatic Relations
supply,74,0.027,4,3_Diplomatic Relations
production,61,0.022,5,3_Diplomatic Relations
china,43,0.016,6,3_Diplomatic Relations
technology,163,0.059,1,4_Technology and Innovation
collaboration,48,0.017,2,4_Technology and Innovation
china,43,0.016,3,4_Technology and Innovation
innovation,20,0.007,4,4_Technology and Innovation
digital,9,0.003,5,4_Technology and Innovation
saudi_arabia,3030,1.098,1,5_Cultural Exchange
education,250,0.091,2,5_Cultural Exchange
culture,217,0.079,3,5_Cultural Exchange
exchange,93,0.034,4,5_Cultural Exchange
tourism,81,0.029,5,5_Cultural Exchange
china,43,0.016,6,5_Cultural Exchange
security,1675,0.607,1,6_Geopolitical Strategy
middle_east,193,0.07,2,6_Geopolitical Strategy
alliance,80,0.029,3,6_Geopolitical Strategy
strategy,52,0.019,4,6_Geopolitical Strategy
influence,24,0.009,5,6_Geopolitical Strategy
geopolitics,4,0.001,6,6_Geopolitical Strategy
trade,132,0.048,1,7_Trade Agreements
agreements,114,0.041,2,7_Trade Agreements
partnerships,40,0.014,3,7_Trade Agreements
imports,20,0.007,4,7_Trade Agreements
exports,16,0.006,5,7_Trade Agreements
deals,11,0.004,6,7_Trade Agreements
development,498,0.181,1,8_Infrastructure Development
partnership,194,0.07,2,8_Infrastructure Development
projects,168,0.061,3,8_Infrastructure Development
cities,85,0.031,4,8_Infrastructure Development
infrastructure,75,0.027,5,8_Infrastructure Development
construction,45,0.016,6,8_Infrastructure Development
