rank,Topic,doc_position,doc_id,title,date,address,Categories
1,1_Economic Cooperation,50,51,Saudi-U.S. CEO Forum 2018 concludes with more than $20 billion dollars in new business partnerships,"March 27, 2018",https://saudiembassy.net/news/saudi-us-ceo-forum-2018-concludes-more-20-billion-dollars-new-business-partnerships,Press Releases
1,2_Belt and Road Initiative (BRI),262,263,Saudi Embassy in Washington Announces Opening of Condolence Book,"January 23, 2015",https://saudiembassy.net/press-release/saudi-embassy-washington-announces-opening-condolence-book,Press Releases
1,3_Diplomatic Relations,523,528,Saudi Ambassador Remarks on U.S. Designation of IIRO Branches,"August 4, 2006",https://saudiembassy.net/press-release/saudi-ambassador-remarks-us-designation-iiro-branches,Press Releases
1,4_Technology and Innovation,275,276,Saudi Minister of Interior Meets with U.S. Secretary of State Kerry,"December 10, 2014",https://saudiembassy.net/press-release/saudi-minister-interior-meets-us-secretary-state-kerry,Press Releases
1,5_Cultural Exchange,425,430,King Abdullah Approves Plan to Upgrade Public Libraries,"August 2, 2011",https://saudiembassy.net/press-release/king-abdullah-approves-plan-upgrade-public-libraries,Press Releases
1,6_Geopolitical Strategy,135,136,"Saudi Arabia Identifies Madinah and Qatif Suicide Bombers, Arrests 19 Conspirators","July 7, 2016",https://saudiembassy.net/press-release/saudi-arabia-identifies-madinah-and-qatif-suicide-bombers-arrests-19-conspirators,Press Releases
1,7_Trade Agreements,116,117,Saudi-Led Forces Intercept Houthi Missile Targeting Makkah Iranian-Backed Rebels Target Holy City,"October 27, 2016",https://saudiembassy.net/press-release/saudi-led-forces-intercept-houthi-missile-targeting-makkah-iranian-backed-rebels,Press Releases
1,8_Infrastructure Development,525,530,Saudi Telethon Raises Over $26.7 Million to Aid Lebanon,"July 26, 2006",https://saudiembassy.net/press-release/saudi-telethon-raises-over-267-million-aid-lebanon,Press Releases
1,Other_1,136,137,Saudi King Vows to Fight Extremists with an ?ÄúIron Fist?Äù,"July 5, 2016",https://saudiembassy.net/press-release/saudi-king-vows-fight-extremists-%E2%80%9Ciron-fist%E2%80%9D,Press Releases
1,Other_2,309,310,?°Ï?Ñ?Ö?Ö?Ñ?É?? ?°Ï?Ñ???°¿?°ß?ä?? ?°Ï?Ñ?????à???ä?? ?????°ß?°¿?? ?°ß?Ö?°ß?Ñ?? ?Ö?°Ï???? ?Ö?Ñ?ä?à?Ü ???à?Ñ?°Ï?°¿ ?Ñ?Ö?°¿?É?? ?°Ï?Ñ?°Ï?Ö?Ö ?°Ï?Ñ?Ö???????? ?Ñ?Ö?É?°Ï?Å???? ?°Ï?Ñ?°Ï?°¿?á?°Ï?°ß,"August 13, 2014",https://saudiembassy.net/press-release/%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D8%AA%D8%A8%D8%B1%D8%B9-%D8%A8%D9%85%D8%A8%D9%84%D8%BA-%D9%85%D8%A7%D8%A6%D8%A9-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D8%A7%D9%85%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D9%84%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9,Press Releases
1,Other_3,346,347,Saudi Foreign Minister Calls for Decisive Stand on Syria,"August 28, 2013",https://saudiembassy.net/press-release/saudi-foreign-minister-calls-decisive-stand-syria,Press Releases
2,1_Economic Cooperation,57,58,Crown Prince Meets with Managing Director of the International Monetary Fund,"March 26, 2018",https://saudiembassy.net/news/crown-prince-meets-managing-director-international-monetary-fund,Press Releases
2,2_Belt and Road Initiative (BRI),546,551,Embassy in Washington Announces Opening of Condolence Book,"August 1, 2005",https://saudiembassy.net/press-release/embassy-washington-announces-opening-condolence-book-0,Press Releases
2,3_Diplomatic Relations,580,585,Statement Regarding Efforts to Block Terrorist Financing,"October 11, 2002",https://saudiembassy.net/press-release/statement-regarding-efforts-block-terrorist-financing,Press Releases
2,4_Technology and Innovation,322,323,Saudi Minister of Interior meets with U.S. Deputy Secretary of State Burns,"February 12, 2014",https://saudiembassy.net/press-release/saudi-minister-interior-meets-us-deputy-secretary-state-burns,Press Releases
2,5_Cultural Exchange,406,410,Record Number of Saudi Students Now Studying in the U.S.,"December 1, 2011",https://saudiembassy.net/press-release/record-number-saudi-students-now-studying-us,Press Releases
2,6_Geopolitical Strategy,286,287,"Saudi Arabia convicts 31 for terror-related crimes, including attacks against U.S. forces","October 23, 2014",https://saudiembassy.net/press-release/saudi-arabia-convicts-31-terror-related-crimes-including-attacks-against-us-forces,Press Releases
2,7_Trade Agreements,235,236,Saudi Ministry of Defense Daily Briefing: Operation Decisive Storm,"April 10, 2015",https://saudiembassy.net/press-release/saudi-ministry-defense-daily-briefing-operation-decisive-storm-9,Press Releases
2,8_Infrastructure Development,288,289,Saudi Arabia Donates $12 Million to Aid Palestinian Refugees,"October 16, 2014",https://saudiembassy.net/press-release/saudi-arabia-donates-12-million-aid-palestinian-refugees,Press Releases
2,Other_1,389,393,"Saudi King and Crown Prince Congratulate Muslims on Ramadan: Urge Empathy, Compassion and Solidarity","July 20, 2012",https://saudiembassy.net/press-release/saudi-king-and-crown-prince-congratulate-muslims-ramadan-urge-empathy-compassion-and,Press Releases
2,Other_2,257,258,Saudi Arabia Calls for Greater Regional Cooperation,"February 24, 2015",https://saudiembassy.net/press-release/saudi-arabia-calls-greater-regional-cooperation,Press Releases
2,Other_3,344,345,Saudi Foreign Minister Calls for Decisive and Serious Action on Syria,"September 1, 2013",https://saudiembassy.net/press-release/saudi-foreign-minister-calls-decisive-and-serious-action-syria,Press Releases
3,1_Economic Cooperation,380,382,Saudi Arabia Among the 20 Most Competitive Economies in the World,"September 5, 2012",https://saudiembassy.net/press-release/saudi-arabia-among-20-most-competitive-economies-world,Press Releases
3,2_Belt and Road Initiative (BRI),430,435,Saudi Arabia Denies Rumors Regarding Travel Restrictions,"June 24, 2011",https://saudiembassy.net/press-release/saudi-arabia-denies-rumors-regarding-travel-restrictions,Press Releases
3,3_Diplomatic Relations,578,583,Saudi Actions to Crack Down on Terrorist Financing,"October 18, 2002",https://saudiembassy.net/press-release/saudi-actions-crack-down-terrorist-financing,Press Releases
